filename,total_notes,pitch_range,avg_interval,note_density,avg_duration,key,mode,category
Road_Orch.musicxml,761,53,4.436842105263158,1.9462915601023019,1.854139290407359,C#,minor,inward
Ballade_In_A_Minor_-_Chad_Lawson - Full score - 01 Ballade In A Minor.musicxml,1124,59,4.520926090828139,2.9270833333333335,0.6523576512455516,A,minor,unspecified
Stufen_excerpt4.musicxml,4300,56,3.5722260990928123,25.294117647058822,0.6392248062015228,C,minor,unspecified
Stufen_excerpt5.musicxml,3629,55,4.1700661521499445,21.347058823529412,0.7553963442637739,C,major,unspecified
Reise_intro.musicxml,1432,62,2.9224318658280923,27.53846153846154,0.4827164804469272,G,minor,minimalist
Reise_excerpt5.musicxml,1727,48,2.9930475086906143,15.419642857142858,0.5486392588303418,G,major,excited
Reise_excerpt4.musicxml,2932,60,2.951552371204367,15.934782608695652,0.7331173260572983,D,minor,planning
Spiegel_Im_Spiegel_Cello__Piano_-_In_F_Major_-_D_Minor - Full score - 01 Spiegel Im Spiegel.musicxml,950,58,5.730242360379346,1.246719160104987,1.7515789473684211,F,major,tintinnabuli
She_Dreams_Of_Time__-_Chad_Lawson - Full score - 01 08.She Dreams Of Time (1).mp3.musicxml,841,52,4.41547619047619,2.750613246116108,0.6462544589774079,F,major,unspecified
Soteria.musicxml,5426,64,3.4894009216589863,21.53174603174603,1.025310234672561,G,major,unclear
Stufen_complete.musicxml,15329,58,3.374739039665971,12.795492487479132,0.8248961663077807,C,minor,unspecified
2025-06-13 09-16-46_Glassworks_Opening_1__Philip_Glass_Opening_1__Philip_Glass - Full score - 01 Philip Glass - Glasswork - Opening No. 1.musicxml,1518,32,4.852999340804219,5.198630136986301,0.5770750988142292,E-,major,unspecified
Stay - Full score - 01 Stay.musicxml,974,50,5.813977389516958,3.010819165378671,0.5908624229979466,E-,major,unspecified
Reise_complete.musicxml,12848,65,3.0672530551879817,19.40785498489426,0.8378281963470336,G,major,unspecified
Fratres_for_Violin_and_Piano - Full score - 01 Fratres (1980).musicxml,2372,79,5.242513707296499,3.6269113149847096,0.3918985385047785,A,minor,tintinnabuli
Lascension_pour_orchestre__Olivier_Messiaen__I._Majest_du_Christ_demandant_sa_gloire__son_Pre - Full score - 01 L'Ascension pour orchestre.musicxml,1455,43,2.344566712517194,10.898876404494382,0.9333333333333333,E,major,unspecified
Fields_of_forever_-_Chad_Lawson - Full score - 01 fields of forever.musicxml,812,45,5.9001233045622685,2.2065217391304346,1.1083743842364533,B-,major,unspecified
Glassworks_Opening_1__Philip_Glass_Opening_1__Philip_Glass - Full score - 01 Philip Glass - Glasswork - Opening No. 1.musicxml,1518,32,4.852999340804219,5.198630136986301,0.5770750988142292,E-,major,unspecified
Nocturne_in_A_Minor_-_Chad_Lawson - Full score - 01 Nocturne in a Minor.musicxml,2047,63,4.764418377321603,4.318565400843882,0.42598925256472886,A,minor,unspecified
Stufen_excerpt3.musicxml,2736,53,2.7546617915904936,11.4,1.2425073099415147,C,minor,unspecified
Stufen_excerpt2.musicxml,1261,48,2.4825396825396826,10.508333333333333,1.0329103885804907,C,minor,unspecified
Reise_excerpt2.musicxml,1774,58,3.2222222222222223,19.282608695652176,0.9994363021420521,D,minor,unspecified
Reise_excerpt3.musicxml,942,62,3.8629117959617427,19.625,0.9140127388535032,D,minor,unspecified
Vingt_Leons_dHarmonie__Olivier_Messiaen_15_Chant_Donn_style_mi-Franck_mi-Debussy - Full score - 01 15 _ Chant Donné.musicxml,366,41,1.8493150684931507,3.4857142857142858,1.1202185792349726,F#,major,unspecified
Stufen_excerpt6.musicxml,1485,48,2.992587601078167,6.456521739130435,0.7047138047138044,C,minor,unspecified
Reise_excerpt6.musicxml,3435,65,3.1624927198602215,27.701612903225808,0.9057253760310526,D,major,unspecified
Music_for_18_Musicians - Full score - 01 Untitled score.musicxml,590,22,1.9117147707979627,6.145833333333333,0.5,A,major,minimalist
When_the_partys_over__Billie_Eilish_When_The_Partys_Over__Billie_Eilish_Arr._Chad_Lawson - Full score - 01 WHEN THE PARTY'S OVER.musicxml,473,43,4.313559322033898,1.4204204204204205,1.0285412262156448,A,major,unspecified
Stufen_excerpt1.musicxml,865,48,3.295138888888889,5.844594594594595,0.8639691714836246,C,minor,unspecified
Henryk_Grecki_-_Symphony_No._3_Symphony_of_Sorrowful_Songs_Movement._I_arr._soprano__4_pianos - Full score - 01 Symphony No. 3 (I).musicxml,6002,55,1.8453591068155308,4.472429210134128,0.9472675774741752,E,minor,unspecified
Reise_excerpt1.musicxml,1377,64,2.877906976744186,14.051020408163266,1.2908496732026145,D,minor,unspecified
Spiegel_im_Spiegel_for_Violin_and_Piano - Full score - 01 Spiegel im Spiegel Arvo Pärt.musicxml,951,53,5.431578947368421,1.257936507936508,1.7444794952681388,F,major,unspecified
Cantus_in_memory_of_Benjamin_Britten_-_Arvo_Prt - Full score - 01 Cantus in memory of Benjamin Britten.musicxml,434,29,1.930715935334873,0.6697530864197531,4.5046082949308754,A,minor,unspecified
Road_Horn.musicxml,533,61,7.133458646616542,1.1612200435729847,1.332082551594747,C#,major,unspecified
Stufen_intro.musicxml,938,48,3.4364994663820703,8.685185185185185,0.6114072494669508,C,minor,unspecified
O_Sacrum_Convivium-_Messiaen - Full score - 01 O Sacrum Convivium!.musicxml,427,40,1.636150234741784,3.1054545454545455,1.288056206088993,F#,major,unspecified
Road_Vocal1.musicxml,713,55,5.626404494382022,1.330223880597015,1.2288452547919584,C#,major,unspecified
Fr_Alina__Arvo_Prt - Full score - 01 Fur Alina.musicxml,158,44,3.21656050955414,1.4234234234234233,1.3544303797468353,B,minor,unspecified
The_Deers_Cry - Full score - 01 The Deer's Cry.musicxml,1024,41,1.710654936461388,3.4133333333333336,1.25732421875,A,minor,sacred
